max_ram_mib,workload,n,running,batch_ms_median,fp_mib,held_mib,guest_avail_mib,psi_some,errors_cum
8192,hog:256,720,1,68,2711,6265,1199,0.00,0
8192,hog:256,730,1,70,2714,6265,1195,0.00,0
8192,hog:256,740,1,72,2716,6265,1192,0.00,0
8192,hog:256,750,2,68,2722,6265,1186,0.00,0
8192,hog:256,760,1,72,2725,6265,1185,0.00,0
8192,hog:256,770,1,68,2729,6265,1181,0.00,0
8192,hog:256,780,1,70,2732,6265,1179,0.00,0
8192,hog:256,790,1,72,2734,6265,1181,0.00,0
8192,hog:256,800,1,68,2739,6265,1173,0.00,0
8192,hog:256,810,1,67,2742,6265,1173,0.00,0
8192,hog:256,820,2,65,2745,6265,1171,0.00,0
8192,hog:256,830,1,68,2747,6265,1166,0.00,0
8192,hog:256,840,1,68,2750,6265,1162,0.00,0
8192,hog:256,850,1,68,2755,6265,1158,0.00,0
8192,hog:256,860,1,71,2761,6265,1159,0.00,0
8192,hog:256,870,1,69,2763,6265,1158,0.00,0
8192,hog:256,880,1,72,2765,6265,1150,0.00,0
8192,hog:256,890,1,69,2769,6265,1146,0.00,0
8192,hog:256,900,1,67,2771,6265,1146,0.00,0
8192,hog:256,910,2,70,2775,6265,1142,0.00,0
8192,hog:256,920,1,69,2779,6265,1137,0.00,0
8192,hog:256,930,1,48,2783,6265,1133,0.00,0
8192,hog:256,940,1,71,2786,6265,1131,0.00,0
8192,hog:256,950,1,69,2789,6265,1132,0.00,0
8192,hog:256,960,1,68,2792,6265,1127,0.00,0
8192,hog:256,970,1,68,2794,6265,1133,0.00,0
8192,hog:256,980,1,72,2798,6265,1122,0.00,0
8192,hog:256,990,1,71,2800,6265,1120,0.00,0
8192,hog:256,1000,1,68,2802,6265,1117,0.00,0
8192,hog:256,1010,1,66,2807,6265,1115,0.00,0
8192,hog:256,1020,1,69,2808,6265,1113,0.00,0
8192,hog:256,1030,1,116,2811,6265,1113,0.00,0
8192,hog:256,1040,1,72,2814,6265,1111,0.00,0
8192,hog:256,1050,1,96,2818,6265,1103,0.00,0
8192,hog:256,1060,1,70,2822,6265,1103,0.00,0
8192,hog:256,1070,1,70,2824,6265,1102,0.00,0
8192,hog:256,1080,1,59,2827,6265,1098,0.00,0
8192,hog:256,1090,1,69,2830,6265,1098,0.00,0
8192,hog:256,1100,1,56,2833,6265,1098,0.00,0
8192,hog:256,1110,1,72,2834,6265,1095,0.00,0
8192,hog:256,1120,1,67,2838,6265,1086,0.00,0
8192,hog:256,1130,2,57,2841,6265,1086,0.00,0
8192,hog:256,1140,1,47,2844,6265,1084,0.00,0
8192,hog:256,1150,1,68,2851,6265,1078,0.00,0
8192,hog:256,1160,1,68,2854,6265,1076,0.00,0
8192,hog:256,1170,1,69,2856,6265,1075,0.00,0
8192,hog:256,1180,1,68,2859,6265,1073,0.00,0
8192,hog:256,1190,1,69,2863,6265,1068,0.00,0
8192,hog:256,1200,1,67,2865,6265,1070,0.00,0
8192,hog:256,1210,1,69,2868,6265,1065,0.00,0
8192,hog:256,1220,1,68,2872,6265,1062,0.00,0
8192,hog:256,1230,1,71,2874,6265,1064,0.00,0
8192,hog:256,1240,1,67,2877,6265,1059,0.00,0
8192,hog:256,1250,1,68,2879,6265,1059,0.00,0
8192,hog:256,1260,4,197,2881,6265,1058,0.00,0
8192,hog:256,1270,1,171,2884,6265,1055,0.00,0
8192,hog:256,1280,2,72,2887,6265,1049,0.00,0
8192,hog:256,1290,2,56,2890,6265,1044,0.00,0
8192,hog:256,1300,1,68,2896,6265,1039,0.00,0
8192,hog:256,1310,1,64,2901,6265,1040,0.00,0
8192,hog:256,1320,1,72,2903,6265,1035,0.00,0
8192,hog:256,1330,1,68,2909,6265,1032,0.00,0
8192,hog:256,1340,2,70,2911,6265,1030,0.00,0
8192,hog:256,1350,1,70,2914,6265,1025,0.00,0
8192,hog:256,1360,1,70,2919,6265,1016,0.00,0
8192,hog:256,1370,1,73,2924,6265,1023,0.00,0
8192,hog:256,1380,1,67,2928,6265,1019,0.00,0
8192,hog:256,1390,1,71,2931,6265,1018,0.00,0
8192,hog:256,1400,1,68,2933,6265,1018,0.00,0
8192,hog:256,1410,1,69,2936,6265,1013,0.00,0
8192,hog:256,1420,1,49,2940,6265,1011,0.00,0
8192,hog:256,1430,1,70,2942,6265,1015,0.00,0
8192,hog:256,1440,1,72,2943,6265,1010,0.00,0
8192,hog:256,1450,1,68,2947,6265,1004,0.00,0
8192,hog:256,1460,1,70,2948,6265,1004,0.00,0
8192,hog:256,1470,1,56,2952,6265,1002,0.00,0
8192,hog:256,1480,1,68,2956,6265,998,0.00,0
8192,hog:256,1490,1,74,2957,6265,991,0.00,0
8192,hog:256,1500,1,69,2961,6265,988,0.00,0
16384,idle,10,10,116,2650,0,15640,0.00,0
16384,idle,20,20,104,2662,0,15629,0.00,0
16384,idle,30,30,119,2685,0,15613,0.00,0
16384,idle,40,40,116,2707,0,15593,0.00,0
16384,idle,50,50,137,2716,0,15578,0.00,0
16384,idle,60,60,127,2734,0,15561,0.00,0
16384,idle,70,70,126,2769,0,15518,0.00,0
16384,idle,80,80,134,2807,0,15478,0.00,0
